label_column	model_name	text_column	embedding_type
coip	SuperSimpleLSTMClassifier	evd_frg	glove50
i_meth	SuperSimpleLSTMClassifier	evd_frg	glove50
i_meth_label	SuperSimpleLSTMClassifier	evd_frg	glove50
p_meth	SuperSimpleLSTMClassifier	evd_frg	glove50
p_meth_label	SuperSimpleLSTMClassifier	evd_frg	glove50
wb	SuperSimpleLSTMClassifier	evd_frg	glove50
coip	SuperSimpleLSTMClassifier	text	glove50
i_meth	SuperSimpleLSTMClassifier	text	glove50
i_meth_label	SuperSimpleLSTMClassifier	text	glove50
p_meth	SuperSimpleLSTMClassifier	text	glove50
p_meth_label	SuperSimpleLSTMClassifier	text	glove50
wb	SuperSimpleLSTMClassifier	text	glove50
coip	FancyConvolutionNetworkClassifier	evd_frg	glove50
i_meth	FancyConvolutionNetworkClassifier	evd_frg	glove50
i_meth_label	FancyConvolutionNetworkClassifier	evd_frg	glove50
p_meth	FancyConvolutionNetworkClassifier	evd_frg	glove50
p_meth_label	FancyConvolutionNetworkClassifier	evd_frg	glove50
wb	FancyConvolutionNetworkClassifier	evd_frg	glove50
coip	FancyConvolutionNetworkClassifier	text	glove50
i_meth	FancyConvolutionNetworkClassifier	text	glove50
i_meth_label	FancyConvolutionNetworkClassifier	text	glove50
p_meth	FancyConvolutionNetworkClassifier	text	glove50
p_meth_label	FancyConvolutionNetworkClassifier	text	glove50
wb	FancyConvolutionNetworkClassifier	text	glove50
