label_column	model_name	text_column	embedding_type
coip	SuperSimpleLSTMClassifier	evd_frg	glove200
i_meth	SuperSimpleLSTMClassifier	evd_frg	glove200
i_meth_label	SuperSimpleLSTMClassifier	evd_frg	glove200
p_meth	SuperSimpleLSTMClassifier	evd_frg	glove200
p_meth_label	SuperSimpleLSTMClassifier	evd_frg	glove200
wb	SuperSimpleLSTMClassifier	evd_frg	glove200
coip	SuperSimpleLSTMClassifier	text	glove200
i_meth	SuperSimpleLSTMClassifier	text	glove200
i_meth_label	SuperSimpleLSTMClassifier	text	glove200
p_meth	SuperSimpleLSTMClassifier	text	glove200
p_meth_label	SuperSimpleLSTMClassifier	text	glove200
wb	SuperSimpleLSTMClassifier	text	glove200
coip	FancyConvolutionNetworkClassifier	evd_frg	glove200
i_meth	FancyConvolutionNetworkClassifier	evd_frg	glove200
i_meth_label	FancyConvolutionNetworkClassifier	evd_frg	glove200
p_meth	FancyConvolutionNetworkClassifier	evd_frg	glove200
p_meth_label	FancyConvolutionNetworkClassifier	evd_frg	glove200
wb	FancyConvolutionNetworkClassifier	evd_frg	glove200
coip	FancyConvolutionNetworkClassifier	text	glove200
i_meth	FancyConvolutionNetworkClassifier	text	glove200
i_meth_label	FancyConvolutionNetworkClassifier	text	glove200
p_meth	FancyConvolutionNetworkClassifier	text	glove200
p_meth_label	FancyConvolutionNetworkClassifier	text	glove200
wb	FancyConvolutionNetworkClassifier	text	glove200
