model_name	embedding_type	doc_type	repeat
CNNBiLSTM	bio_glove300	all	10
CNNBiLSTM	bio_glove300	evd_frg	10
CNNBiLSTM	bio_glove300	caption	10
CNNBiLSTM	bio_glove300	caption_evdfrg	10
CNNBiLSTM	bio_glove300	abstract	10
CNNBiLSTM	bio_glove300	title_abstract	10
SimpleCNN	bio_glove300	title	10
SimpleCNN	bio_glove300	MeSH	10
