model_name	embedding_type	doc_type	repeat
CNNBiLSTM	bio_fasttext100	all	10
CNNBiLSTM	bio_fasttext100	evd_frg	10
CNNBiLSTM	bio_fasttext100	caption	10
CNNBiLSTM	bio_fasttext100	caption_evdfrg	10
CNNBiLSTM	bio_fasttext100	abstract	10
CNNBiLSTM	bio_fasttext100	title_abstract	10
SimpleCNN	bio_fasttext100	title	10
SimpleCNN	bio_fasttext100	MeSH	10
